Text,Sentiment,Positive
Estoy envel hospital,positivo,1
Disculpe m puede pasar m codigo d consultora xq l perdi gracias para poder pagar gracias,positivo,1
"El numero 998881657 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Dejen d mandar msj no debo nada ok,positivo,1
De que debo?,positivo,1
Señores  cencosud ya cancelé el dia 03 del pte. Vean bien si sistema,positivo,1
Llamame al numero.de celu,positivo,1
Yo ya e cancelado,positivo,1
Hola ya paque,positivo,1
Buenas tardes que solucion me tienen de la carta que presenté para que me den mi carta de no adeudo,positivo,1
Si el día 15 pagare. Gracias,positivo,1
"El numero 985477632 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Porque no me.dan gb,positivo,1
Perdoneme,positivo,1
Ya cancele hace 2 meses,positivo,1
Dejen de mandar mensajes,positivo,1
No tengo deudas. Dejen de acosarme,positivo,1
Muchas Gracias,positivo,1
Elizabeth.. Occopa sarza pata cordero,positivo,1
interés y pague mi cuota normal,positivo,1
Estoy cansada de sus mensajes yo no tengo ninguna deuda,positivo,1
Por fabor yo no debo,positivo,1
20 y la fecha no tengo respuesta debo tomarlo como silencio admini,positivo,1
Soy antonio martinez por favor dejen de estar mandando sms,positivo,1
Ok lo pago,positivo,1
Que equipos no me jodan voy a dar de baja a t odo,positivo,1
Lo cancele,positivo,1
"El numero 996052593 quiere comunicarse contigo, si deseas llamalo.",positivo,1
Y nunca debo al BCP,positivo,1
"Digame señorita, yo no estoy debiendo nada por favor llamame para aclarar las cosas",positivo,1
Ya hice mi pago en agente bcp,positivo,1
Ya cancele amigo,positivo,1
Cuota de que?,positivo,1
YA PAGUE,positivo,1
"Cuanto asciende mi deuda, y como puedo pagarlo ",positivo,1
Q deuda carajo yo tengo nada q ver con ustedes.,positivo,1
No debo nada... de que me cobran,positivo,1
cuantas beses les tengo q desir q no tengo plata ni para tragar ,positivo,1
Que no es gracias,positivo,1
COMO VOY A CANCELAR ALGO Q NO DEBO BURRO,positivo,1
Cuales beneficios,positivo,1
Me lo han mansado de nuevo hoy dia a las 9:17a.m.,positivo,1
No fastidiar,positivo,1
Yo no debo ninguna cuota po favor llamar.,positivo,1
Le estoy llamando me puede decir la urgencia por FA,positivo,1
"El numero 988353527 quiere comunicarse contigo, si deseas llamalo.",positivo,1
"No estoy interesado, deje de enviar mensajes, es un acoso.",positivo,1
Porque no se puede salir a vender,positivo,1
Sres por favor dejar de enviar ya que el titular es mi hno dejar de molestar,positivo,1
Fijense este numero es del estado de essalud,positivo,1
no me es posible reunir el monton de la letra . Espero su respuesta gracias.,positivo,1
No molestar x favor oh mi abogado lo mandara una citacion,positivo,1
"El numero 974880633 quiere comunicarse contigo, si deseas llamalo.",positivo,1
No me est¿s llamando,positivo,1
"Pasen a recoger el equipo en alquiler, los demas equipos YO LOS PAGUÉ en todo caso comuniquese al 934681540",positivo,1
yo no tengo ninguna deuda con este banco,positivo,1
de que es esto  x favor  expliquese  gracias ,positivo,1
Porque me llama asi,positivo,1
Yo ya no voy a pagar no cuento con trabajo por el momento y ahora las AFP nos tienen paseando que nos van a devolver lo siento mucho,positivo,1
no tengo deuda no fastidien,positivo,1
Quiero saber si pagaron la letra yo estoy enfermo por fabor me responde,positivo,1
Ya pague hace rato.,positivo,1
Ya ay ley de congelamiento de deudas y reprogramación que se cumpla,positivo,1
El día de ayer,positivo,1
"Hola, cuanto seria el pago",positivo,1
Ya voyyyyy,positivo,1
Ya se pagaron hace dias,positivo,1
Mandas mensajes y no dices de que trata,positivo,1
No es mi saldo ,positivo,1
"Buenas tardes he ido a sacar mi dinero y el cajero estaba contando pero no salio nada, ahora reviso mi saldo y no plata favor soluciono",positivo,1
Mi hermano no hizo mas que 110.00 soles,positivo,1
Iré a pagar BBVA CON QUE CODIGO porfavor,positivo,1
Ya pague por favor,positivo,1
Actualizan su sistema por favor yo no debo nada a derrama,positivo,1
Facil es saber de quien es este numero,positivo,1
"El numero 964738442 realizo una llamada, busca comunicarse contigo.",positivo,1
Quien  eres??? Y porqué  tendria  que comunicarme  con usted???,positivo,1
Ahora,positivo,1
solo esta vez y ahora no quieren ustedes ,positivo,1
Tam ien por favor que me devuelvan 180 soles que abone porfavor que 2 veces he ido al banco y no los han devuelto,positivo,1
"Muy bien, me acercare hoy  a cancelar , gracias ",positivo,1
"equipos?, solo sera el routers.",positivo,1
Porq me escribe ese mensaje si mi persona no tiene ninguna deuda con esa financiera.,positivo,1
Cuando quieran,positivo,1
Cuando,positivo,1
.-.--??...---.-...-.-..-.-....-.-.-.-?????-.-..-.-.------.--....-.-.-.-?.-.-.-..-...-?-?.-.-.-..--.-.-.-.--.-..--?-.-.-.-????-.-....-..-....-----.-.-....,positivo,1
Llameme uds.,positivo,1
Ingrese al sistema y verifique ya esta cancelado,positivo,1
"Hola, te quise llamar pero no tengo saldo, llamame 51991529971.",positivo,1
Y desvincular con el banco,positivo,1
o mi deuda,positivo,1
Andense a la miarda q joden yo no teng ninguna deuda dejn d escribir a mi numero,positivo,1
M puede decir sobre q pago ce refiere,positivo,1
Tengo el comprobante,positivo,1
X favor quiero congelar la deuda x favor,positivo,1
Confirmar direccion  de recojo ,positivo,1
Ya pagué,positivo,1
No debo equipos.... No entiendo su solicitud.... Llame...,positivo,1
Si verifican ya cancele deuda,positivo,1
Ya me acerco mañana a pagar les duplicaria que me envien los mensajes con 2 dias de anticipacion por que a veces estoy muy ocupado y me olvido mil discul,positivo,1
Que beneficio?,positivo,1
O q quieren q page otra bes,positivo,1
por favor el de Rojas Morales Bermudez no esta en Peru este no es su numero,positivo,1
Ta esta pagada,positivo,1
Estoy  delicada  por eso no me acerco ha pagar espero que me comprendan ,positivo,1
Este no es mi numero es de mi madre...mi numero es 948170013,positivo,1
Hola q tal mañana me acerco,positivo,1
Solicito reprogramacion de deuda,positivo,1
Ya pagr,positivo,1
No m jodan ya pagué o quieren que pague de nuevo dejen de joder,positivo,1
Buenas tardes me estan llamando y mi microfono del celular esta malogrado me han diagnosticado covid y si voy a pagar el 12 de octubre termino mis 20 dia,positivo,1
BUENOS DIAS EL sabado estaba esperando no llegaron esta semana no estaré ahi estaré miércoles 30 de este mes mejor programa para el miércoles 30 de este,positivo,1
"X favor dejar de mandar mnsajes x qyo no tengo ninguna deuda, averiguar primero ,",positivo,1
"Buenas tardes, por favor después de las 6p.m. podria enviarlo , me encuentro trabajando .",positivo,1
No contesta nunca,positivo,1
Yo kiero saber xk es tanto,positivo,1
Que numero de cuota es,positivo,1
NO%20MAS%20MENSAJES%20PORFAVOR%20,positivo,1
Que mierda me van a quitar o q me van a retener ah si no tengo ni mierda lo unico q saven es joder,positivo,1
Ya lo pague... Dejen MOLES TAAAAAAAAARRRRR😠😠😠😠😠,positivo,1
No tengo plataaaaa,positivo,1
"El numero 953960732 realizo una llamada, busca comunicarse contigo.",positivo,1
s y hasta en llamadas algunas veces. Actulicen su base de datos.,positivo,1
Ya pageeeee,positivo,1
Buenas tardes. De cuanto es el dscto,positivo,1
Quien eres y que deseas,positivo,1
De que es,positivo,1
Cual Esther ctmr,positivo,1
Ok digan cuando van a ir para poder nosotros ir por que ya no viven nsdie,positivo,1
Pague en tienda f,positivo,1
Para cancelar hoy,positivo,1
"Sres NO  tengo ninguna deuda con RIPLEY .... DEJEN DE ACOSARME, que eso si es un delito, gracias",positivo,1
Reitero que Vayan y cobrelo a carpio pero dejen de molestarme por favor vayan a su casa y dejen de molestar por favor tienen miedi de llamarlo llamenlo,positivo,1
Oye que pague el compañero ALAN PERU,positivo,1
Aki dice ke vencio el 2 de octubre 2020 vez reci¿n vencera,positivo,1
o a nadie por favor verificar su información gracias,positivo,1
K es cuotas especiales????,positivo,1
Por favor me podria indicar cual seria ese super descuento????,positivo,1
Pago el 10 octubre xfavor,positivo,1
Ya pagu¿,positivo,1
Y este numero de celular a quien corresponde...?,positivo,1
Esta Linea es nueva,positivo,1
Solicite mi reprogramación ....aún no me responden...... gracias,positivo,1
Yo llegue a un acuerdo y eso le explique,positivo,1
Ya ecanselado el día 5,positivo,1
de k debo amiga o amigo de mi,positivo,1
"El numero 920024645 realizo una llamada, busca comunicarse contigo.",positivo,1
 Disculpe que cuota si ya he pagado todas mis cuotas..,positivo,1
Ya cancele gracias,positivo,1
No llamo a Call Centers de cobranza,positivo,1
Cuanto es el descuento q tengo ,positivo,1
Hoy%20recien%20se%20cumple%20la%20fecha%20,positivo,1
Grasias hoy boy a pagar  a .partir de 4 de la tarde,positivo,1
Si pago mañana cobran la multa ,positivo,1
Ya pague hoy Gracias,positivo,1
Estoy llamando a ese numero constantemente y nadie contesta,positivo,1
l deposito .,positivo,1
No tengo deuda con Scotiabank ya que solicite anulacion de tarjeta. No tengo respuesta del Banco.,positivo,1
Yo no debo mucho menos al efectiva,positivo,1
Que es eso?,positivo,1
"El numero 955693150 realizo una llamada, busca comunicarse contigo.",positivo,1
No tengo deuda con ustedes,positivo,1
de pago,positivo,1
Ya pague una parte,positivo,1
Ys pague,positivo,1
Por motivos de Desempleo Si pudieran aplazar mis pagos seria aplaudible. Gracias,positivo,1
Ya lo paque gracias,positivo,1
No puedes pagar antes  x motivo del fallecimiento de mi padre,positivo,1
"Q me llamen para entregarselos ,me he mudado",positivo,1
"Buenas tardes el pago se efectuo el dia 25 de este mes, porfavor agradeceria que dejen de estar llamando y/o actualicen bien su sistema, Gracias.",positivo,1
De pasaron asi no es encima cobran mas ahora me acercare a la oficina,positivo,1
Ya pague revisen bien,positivo,1
Q debo estafador,positivo,1
que cuota,positivo,1
Por favor pueden dejar de mandar mensaje y de llamar a este numero,positivo,1
Intento llamarle pero esta apagado los equipos,positivo,1
Hasta q hora es la atencion o si se puede pagar en agentes,positivo,1
"Que ridiculos, acaso estoy huyendo",positivo,1
No me interesa sus argumentos. Demande para responderle con gusto. Porquerias.,positivo,1
Señorita yo no tengo ninguna deuda con la derrama hace un año q eh cancelado,positivo,1
Señores de Acceso en estos momentos me encuentro en cama ya que he recaido con este maldito mal y no estoy trabajando con la justas pude cancelar los pre,positivo,1
Gracias. Hoy pago,positivo,1
De que beneficios,positivo,1
Buenos días,positivo,1
1234567890,positivo,1
Cuanta personas hay desemplado ya el covi ya paso qeremos trabajar para pagar. Deudas pendiente ,positivo,1
enpesar apagar pero come m pusieron al sistema en rojo ya no lo boy apagar x ser abusivos xk estan contra la ley,positivo,1
Ok.gracias.,positivo,1
"Yo les debo, no jodan",positivo,1
De q cuenta me estan hablando,positivo,1
puedes responder cual es tu urgencia,positivo,1
